date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:07:14	3329/3329	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Nov%202022%2000:07:15%20GMT	https://zz-automation.com/naufalbisnes/index.php	C:/Users/Dell/Desktop/automation/zz-automation.com/naufalbisnes/index.html	(from )
08:07:15	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Nov%202022%2000:07:16%20GMT	https://zz-automation.com/robots.txt		(from )
08:07:15	122540/122540	---M-Z	200	added ('OK')	text/css	date:Sat,%2014%20Jul%202018%2023:18:38%20GMT	https://zz-automation.com/naufalbisnes/bootstrap-3.3.5-dist/css/bootstrap.min.css	C:/Users/Dell/Desktop/automation/zz-automation.com/naufalbisnes/bootstrap-3.3.5-dist/css/bootstrap.min.css	(from https://zz-automation.com/naufalbisnes/index.php)
08:07:15	911/911	---M-Z	200	added ('OK')	text/css	date:Sat,%2014%20Jul%202018%2023:18:38%20GMT	https://zz-automation.com/naufalbisnes/bootstrap-3.3.5-dist/css/custom.css	C:/Users/Dell/Desktop/automation/zz-automation.com/naufalbisnes/bootstrap-3.3.5-dist/css/custom.css	(from https://zz-automation.com/naufalbisnes/index.php)
08:07:16	65224/65224	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Jan%202019%2015:18:13%20GMT	https://zz-automation.com/naufalbisnes/logo.jpg?1667779635	C:/Users/Dell/Desktop/automation/zz-automation.com/naufalbisnes/logo7051.jpg	(from https://zz-automation.com/naufalbisnes/index.php)
08:07:16	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2014%20Jul%202018%2023:18:38%20GMT	https://zz-automation.com/naufalbisnes/bootstrap-3.3.5-dist/fonts/glyphicons-halflings-regular.eot	C:/Users/Dell/Desktop/automation/zz-automation.com/naufalbisnes/bootstrap-3.3.5-dist/fonts/glyphicons-halflings-regular.eot	(from https://zz-automation.com/naufalbisnes/bootstrap-3.3.5-dist/css/bootstrap.min.css)
08:07:16	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2014%20Jul%202018%2023:18:38%20GMT	https://zz-automation.com/naufalbisnes/bootstrap-3.3.5-dist/fonts/glyphicons-halflings-regular.eot?	C:/Users/Dell/Desktop/automation/zz-automation.com/naufalbisnes/bootstrap-3.3.5-dist/fonts/glyphicons-halflings-regulard41d.eot	(from https://zz-automation.com/naufalbisnes/bootstrap-3.3.5-dist/css/bootstrap.min.css)
08:07:16	18028/18028	---M--	200	added ('OK')	font/woff2	date:Sat,%2014%20Jul%202018%2023:18:38%20GMT	https://zz-automation.com/naufalbisnes/bootstrap-3.3.5-dist/fonts/glyphicons-halflings-regular.woff2	C:/Users/Dell/Desktop/automation/zz-automation.com/naufalbisnes/bootstrap-3.3.5-dist/fonts/glyphicons-halflings-regular.woff2	(from https://zz-automation.com/naufalbisnes/bootstrap-3.3.5-dist/css/bootstrap.min.css)
08:07:17	23424/23424	---M--	200	added ('OK')	font/woff	date:Sat,%2014%20Jul%202018%2023:18:38%20GMT	https://zz-automation.com/naufalbisnes/bootstrap-3.3.5-dist/fonts/glyphicons-halflings-regular.woff	C:/Users/Dell/Desktop/automation/zz-automation.com/naufalbisnes/bootstrap-3.3.5-dist/fonts/glyphicons-halflings-regular.woff	(from https://zz-automation.com/naufalbisnes/bootstrap-3.3.5-dist/css/bootstrap.min.css)
08:07:17	45404/45404	---M--	200	added ('OK')	font/ttf	date:Sat,%2014%20Jul%202018%2023:18:38%20GMT	https://zz-automation.com/naufalbisnes/bootstrap-3.3.5-dist/fonts/glyphicons-halflings-regular.ttf	C:/Users/Dell/Desktop/automation/zz-automation.com/naufalbisnes/bootstrap-3.3.5-dist/fonts/glyphicons-halflings-regular.ttf	(from https://zz-automation.com/naufalbisnes/bootstrap-3.3.5-dist/css/bootstrap.min.css)
08:07:17	108738/108738	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2014%20Jul%202018%2023:18:38%20GMT	https://zz-automation.com/naufalbisnes/bootstrap-3.3.5-dist/fonts/glyphicons-halflings-regular.svg	C:/Users/Dell/Desktop/automation/zz-automation.com/naufalbisnes/bootstrap-3.3.5-dist/fonts/glyphicons-halflings-regular.svg	(from https://zz-automation.com/naufalbisnes/bootstrap-3.3.5-dist/css/bootstrap.min.css)
